Step,AveragePressure,MuExcess
901,0.875569,-3.38907
902,0.869418,-2.86354
903,0.821947,-2.94452
904,0.901783,-3.14701
905,0.862779,-2.23333
906,0.898616,-2.01864
907,0.86597,-2.32007
908,0.794899,-2.18236
909,0.886639,-2.94143
910,0.86998,-1.89992
911,0.89852,-2.1201
912,0.816516,-2.73594
913,0.82016,-2.39373
914,0.820157,-2.93183
915,0.85048,-3.33587
916,0.839191,-3.94975
917,0.836438,-3.39889
918,0.898923,-3.1124
919,0.845356,-2.57188
920,0.912131,-1.98853
921,0.869052,-2.23676
922,0.86428,-2.59753
923,0.859896,-1.94575
924,0.898135,-2.62639
925,0.864927,-2.08288
926,0.867239,-2.45753
927,0.863935,-2.79077
928,0.854187,-2.62915
929,0.907708,-2.89648
930,0.883324,-2.96008
931,0.80275,-2.43323
932,0.821457,-2.79524
933,0.814803,-2.79843
934,0.84501,-2.8579
935,0.863616,-2.77059
936,0.875346,-2.03295
937,0.992279,-2.86402
938,0.931076,-2.60763
939,0.880768,-2.66013
940,0.715043,-2.98057
941,0.753783,-2.9451
942,0.71817,-1.95106
943,0.758632,-1.8739
944,0.706402,-2.28759
945,0.742247,-3.12853
946,0.740789,-3.83566
947,0.754135,-2.84308
948,0.77909,-2.11281
949,0.816897,-2.06034
950,0.912732,-2.92833
951,0.788319,-2.7639
952,0.804133,-2.49477
953,0.864158,-2.25465
954,0.829835,-2.02333
955,0.761429,-1.98336
956,0.828895,-2.30477
957,0.86211,-2.61927
958,0.909734,-3.06149
959,0.824835,-2.25899
960,0.792083,-2.56417
961,0.775583,-2.27319
962,0.818168,-3.17619
963,0.806483,-2.36126
964,0.848651,-2.41231
965,0.854564,-2.44563
966,0.803262,-2.56127
967,0.794822,-2.2736
968,0.795101,-2.5741
969,0.823493,-2.59614
970,0.82747,-2.58776
971,0.841017,-2.34713
972,0.842854,-2.13916
973,0.832373,-2.85315
974,0.787298,-1.6822
975,0.769663,-2.32381
976,0.790406,-3.795
977,0.815698,-3.14568
978,0.852341,-2.52653
979,0.840401,-1.8134
980,0.820524,-2.60607
981,0.835856,-2.56773
982,0.823235,-2.76288
983,0.886757,-2.26916
984,0.851012,-2.79096
985,0.898669,-1.76259
986,0.891281,-2.12798
987,0.954093,-2.21824
988,0.910273,-1.76851
989,0.82901,-3.39197
990,0.79429,-2.22967
991,0.842162,-1.90854
992,0.832295,-3.79525
993,0.810945,-3.52637
994,0.805744,-2.91949
995,0.807637,-2.96838
996,0.809012,-3.23567
997,0.804923,-2.46877
998,0.765841,-2.86102
999,0.893713,-3.17548
