time,kinetic_energy_pp,potential_energy_pp,total_energy_pp,temperature,velo_autocor,diffusion_coef
0,1.5001,-0.224751,1.27534,1.00006,1.66451,5.54837e-05
0.0001,1.50032,-0.224971,1.27534,1.00021,1.66463,5.54896e-05
0.0002,1.50053,-0.225189,1.27534,1.00036,1.66475,5.54937e-05
0.0003,1.50075,-0.225405,1.27534,1.0005,1.66487,5.54977e-05
0.0004,1.50096,-0.225618,1.27534,1.00064,1.66499,5.55016e-05
0.0005,1.50117,-0.225829,1.27534,1.00078,1.66511,5.55055e-05
0.0006,1.50138,-0.226038,1.27534,1.00092,1.66523,5.55094e-05
0.0007,1.50159,-0.226244,1.27534,1.00106,1.66534,5.55132e-05
0.0008,1.50179,-0.226448,1.27534,1.0012,1.66545,5.55169e-05
0.0009,1.50199,-0.22665,1.27534,1.00133,1.66556,5.55207e-05
0.001,1.50219,-0.22685,1.27534,1.00146,1.66567,5.55243e-05
0.0011,1.50239,-0.227047,1.27534,1.00159,1.66578,5.5528e-05
0.0012,1.50259,-0.227241,1.27534,1.00172,1.66589,5.55316e-05
0.0013,1.50278,-0.227434,1.27534,1.00185,1.666,5.55351e-05
0.0014,1.50297,-0.227624,1.27534,1.00198,1.6661,5.55387e-05
0.0015,1.50316,-0.227812,1.27534,1.0021,1.66621,5.55421e-05
0.0016,1.50334,-0.227997,1.27534,1.00223,1.66631,5.55455e-05
0.0017,1.50353,-0.228181,1.27534,1.00235,1.66641,5.55489e-05
0.0018,1.50371,-0.228361,1.27534,1.00247,1.66651,5.55523e-05
0.0019,1.50388,-0.22854,1.27534,1.00259,1.66661,5.55556e-05
0.002,1.50406,-0.228716,1.27534,1.00271,1.66671,5.55588e-05
0.0021,1.50423,-0.22889,1.27534,1.00282,1.66681,5.5562e-05
0.0022,1.50441,-0.229061,1.27534,1.00294,1.6669,5.55652e-05
0.0023,1.50458,-0.229231,1.27534,1.00305,1.66699,5.55683e-05
0.0024,1.50474,-0.229397,1.27534,1.00316,1.66709,5.55714e-05
0.0025,1.50491,-0.229562,1.27534,1.00327,1.66718,5.55744e-05
0.0026,1.50507,-0.229724,1.27534,1.00338,1.66727,5.55774e-05
0.0027,1.50523,-0.229884,1.27534,1.00349,1.66735,5.55804e-05
0.0028,1.50539,-0.230041,1.27534,1.00359,1.66744,5.55833e-05
0.0029,1.50554,-0.230196,1.27534,1.00369,1.66753,5.55861e-05
0.003,1.50569,-0.230349,1.27534,1.0038,1.66761,5.55889e-05
0.0031,1.50584,-0.230499,1.27534,1.0039,1.6677,5.55917e-05
0.0032,1.50599,-0.230647,1.27534,1.00399,1.66778,5.55944e-05
0.0033,1.50614,-0.230793,1.27534,1.00409,1.66786,5.55971e-05
0.0034,1.50628,-0.230936,1.27534,1.00419,1.66794,5.55997e-05
0.0035,1.50642,-0.231077,1.27534,1.00428,1.66801,5.56023e-05
0.0036,1.50656,-0.231215,1.27534,1.00437,1.66809,5.56049e-05
0.0037,1.5067,-0.231351,1.27534,1.00446,1.66817,5.56074e-05
0.0038,1.50683,-0.231485,1.27534,1.00455,1.66824,5.56099e-05
0.0039,1.50696,-0.231616,1.27534,1.00464,1.66831,5.56123e-05
0.004,1.50709,-0.231745,1.27534,1.00473,1.66838,5.56147e-05
0.0041,1.50722,-0.231872,1.27534,1.00481,1.66845,5.5617e-05
0.0042,1.50734,-0.231996,1.27534,1.00489,1.66852,5.56193e-05
0.0043,1.50746,-0.232117,1.27534,1.00497,1.66859,5.56215e-05
0.0044,1.50758,-0.232237,1.27534,1.00505,1.66866,5.56237e-05
0.0045,1.5077,-0.232354,1.27534,1.00513,1.66872,5.56259e-05
0.0046,1.50781,-0.232468,1.27534,1.00521,1.66878,5.5628e-05
0.0047,1.50792,-0.23258,1.27534,1.00528,1.66885,5.563e-05
0.0048,1.50803,-0.23269,1.27534,1.00536,1.66891,5.5632e-05
0.0049,1.50814,-0.232797,1.27534,1.00543,1.66896,5.5634e-05
0.005,1.50825,-0.232902,1.27534,1.0055,1.66902,5.56359e-05
0.0051,1.50835,-0.233004,1.27534,1.00557,1.66908,5.56378e-05
0.0052,1.50845,-0.233104,1.27534,1.00563,1.66913,5.56397e-05
0.0053,1.50855,-0.233202,1.27534,1.0057,1.66919,5.56415e-05
0.0054,1.50864,-0.233297,1.27534,1.00576,1.66924,5.56432e-05
0.0055,1.50873,-0.23339,1.27534,1.00582,1.66929,5.56449e-05
0.0056,1.50882,-0.23348,1.27534,1.00588,1.66934,5.56466e-05
0.0057,1.50891,-0.233568,1.27534,1.00594,1.66939,5.56482e-05
0.0058,1.509,-0.233653,1.27534,1.006,1.66944,5.56497e-05
0.0059,1.50908,-0.233736,1.27534,1.00605,1.66948,5.56513e-05
0.006,1.50916,-0.233817,1.27534,1.00611,1.66953,5.56527e-05
0.0061,1.50924,-0.233895,1.27534,1.00616,1.66957,5.56542e-05
0.0062,1.50931,-0.23397,1.27534,1.00621,1.66961,5.56555e-05
0.0063,1.50939,-0.234043,1.27534,1.00626,1.66965,5.56569e-05
0.0064,1.50946,-0.234114,1.27534,1.00631,1.66969,5.56582e-05
0.0065,1.50953,-0.234182,1.27534,1.00635,1.66973,5.56594e-05
0.0066,1.50959,-0.234247,1.27534,1.00639,1.66976,5.56606e-05
0.0067,1.50965,-0.23431,1.27534,1.00644,1.6698,5.56618e-05
0.0068,1.50972,-0.234371,1.27534,1.00648,1.66983,5.56629e-05
0.0069,1.50977,-0.234429,1.27534,1.00652,1.66986,5.56639e-05
0.007,1.50983,-0.234485,1.27534,1.00655,1.66989,5.5665e-05
0.0071,1.50988,-0.234538,1.27534,1.00659,1.66992,5.56659e-05
0.0072,1.50993,-0.234589,1.27534,1.00662,1.66995,5.56669e-05
0.0073,1.50998,-0.234637,1.27534,1.00665,1.66998,5.56677e-05
0.0074,1.51003,-0.234682,1.27534,1.00668,1.67,5.56686e-05
0.0075,1.51007,-0.234725,1.27534,1.00671,1.67002,5.56693e-05
0.0076,1.51011,-0.234766,1.27534,1.00674,1.67005,5.56701e-05
0.0077,1.51015,-0.234804,1.27534,1.00677,1.67007,5.56708e-05
0.0078,1.51018,-0.234839,1.27534,1.00679,1.67009,5.56714e-05
0.0079,1.51022,-0.234872,1.27534,1.00681,1.6701,5.5672e-05
0.008,1.51025,-0.234903,1.27534,1.00683,1.67012,5.56726e-05
0.0081,1.51028,-0.23493,1.27534,1.00685,1.67014,5.56731e-05
0.0082,1.5103,-0.234956,1.27534,1.00687,1.67015,5.56735e-05
0.0083,1.51032,-0.234979,1.27534,1.00688,1.67016,5.56739e-05
0.0084,1.51034,-0.234999,1.27534,1.0069,1.67017,5.56743e-05
0.0085,1.51036,-0.235016,1.27534,1.00691,1.67018,5.56746e-05
0.0086,1.51038,-0.235031,1.27534,1.00692,1.67019,5.56749e-05
0.0087,1.51039,-0.235044,1.27534,1.00693,1.6702,5.56751e-05
0.0088,1.5104,-0.235054,1.27534,1.00693,1.6702,5.56753e-05
0.0089,1.51041,-0.235061,1.27534,1.00694,1.67021,5.56754e-05
0.009,1.51041,-0.235066,1.27534,1.00694,1.67021,5.56754e-05
0.0091,1.51041,-0.235068,1.27534,1.00694,1.67021,5.56755e-05
0.0092,1.51041,-0.235067,1.27534,1.00694,1.67021,5.56755e-05
0.0093,1.51041,-0.235064,1.27534,1.00694,1.67021,5.56754e-05
0.0094,1.5104,-0.235058,1.27534,1.00694,1.6702,5.56753e-05
0.0095,1.51039,-0.23505,1.27534,1.00693,1.6702,5.56751e-05
0.0096,1.51038,-0.235039,1.27534,1.00692,1.67019,5.56749e-05
0.0097,1.51037,-0.235025,1.27534,1.00691,1.67018,5.56746e-05
0.0098,1.51035,-0.235009,1.27534,1.0069,1.67017,5.56743e-05
0.0099,1.51033,-0.23499,1.27534,1.00689,1.67016,5.56739e-05
0.01,1.51031,-0.234969,1.27534,1.00688,1.67015,5.56735e-05
0.0101,1.51029,-0.234944,1.27534,1.00686,1.67014,5.56731e-05
0.0102,1.51026,-0.234917,1.27534,1.00684,1.67012,5.56726e-05
0.0103,1.51023,-0.234888,1.27534,1.00682,1.6701,5.5672e-05
0.0104,1.5102,-0.234856,1.27534,1.0068,1.67009,5.56714e-05
0.0105,1.51017,-0.234821,1.27534,1.00678,1.67007,5.56707e-05
0.0106,1.51013,-0.234783,1.27534,1.00675,1.67004,5.567e-05
0.0107,1.51009,-0.234743,1.27534,1.00673,1.67002,5.56693e-05
0.0108,1.51004,-0.2347,1.27534,1.0067,1.67,5.56685e-05
0.0109,1.51,-0.234655,1.27534,1.00667,1.66997,5.56676e-05
0.011,1.50995,-0.234606,1.27534,1.00663,1.66994,5.56667e-05
0.0111,1.5099,-0.234555,1.27534,1.0066,1.66992,5.56657e-05
0.0112,1.50985,-0.234501,1.27534,1.00656,1.66989,5.56647e-05
0.0113,1.50979,-0.234445,1.27534,1.00653,1.66985,5.56637e-05
0.0114,1.50973,-0.234386,1.27534,1.00649,1.66982,5.56626e-05
0.0115,1.50967,-0.234324,1.27534,1.00645,1.66979,5.56614e-05
0.0116,1.5096,-0.234259,1.27534,1.0064,1.66975,5.56602e-05
0.0117,1.50954,-0.234192,1.27534,1.00636,1.66971,5.56589e-05
0.0118,1.50947,-0.234121,1.27534,1.00631,1.66967,5.56576e-05
0.0119,1.50939,-0.234048,1.27534,1.00626,1.66963,5.56562e-05
0.012,1.50932,-0.233973,1.27534,1.00621,1.66959,5.56548e-05
0.0121,1.50924,-0.233894,1.27534,1.00616,1.66955,5.56534e-05
0.0122,1.50916,-0.233813,1.27534,1.0061,1.6695,5.56518e-05
0.0123,1.50907,-0.233729,1.27534,1.00605,1.66945,5.56503e-05
0.0124,1.50899,-0.233642,1.27534,1.00599,1.6694,5.56487e-05
0.0125,1.5089,-0.233552,1.27534,1.00593,1.66935,5.5647e-05
0.0126,1.5088,-0.23346,1.27534,1.00587,1.6693,5.56453e-05
0.0127,1.50871,-0.233365,1.27534,1.00581,1.66925,5.56435e-05
0.0128,1.50861,-0.233266,1.27534,1.00574,1.66919,5.56416e-05
0.0129,1.50851,-0.233166,1.27534,1.00567,1.66914,5.56398e-05
0.013,1.50841,-0.233062,1.27534,1.0056,1.66908,5.56378e-05
0.0131,1.5083,-0.232955,1.27534,1.00553,1.66902,5.56358e-05
0.0132,1.50819,-0.232846,1.27534,1.00546,1.66896,5.56338e-05
0.0133,1.50808,-0.232733,1.27534,1.00539,1.6689,5.56317e-05
0.0134,1.50796,-0.232618,1.27534,1.00531,1.66883,5.56296e-05
0.0135,1.50784,-0.2325,1.27534,1.00523,1.66877,5.56274e-05
0.0136,1.50772,-0.232379,1.27534,1.00515,1.6687,5.56251e-05
0.0137,1.5076,-0.232255,1.27534,1.00507,1.66863,5.56228e-05
0.0138,1.50747,-0.232129,1.27534,1.00498,1.66856,5.56204e-05
0.0139,1.50734,-0.231999,1.27534,1.0049,1.66849,5.5618e-05
0.014,1.50721,-0.231867,1.27534,1.00481,1.66841,5.56156e-05
0.0141,1.50708,-0.231731,1.27534,1.00472,1.66834,5.5613e-05
0.0142,1.50694,-0.231593,1.27534,1.00463,1.66826,5.56105e-05
0.0143,1.5068,-0.231452,1.27534,1.00453,1.66818,5.56078e-05
0.0144,1.50665,-0.231308,1.27534,1.00443,1.6681,5.56051e-05
0.0145,1.50651,-0.231161,1.27534,1.00434,1.66802,5.56024e-05
0.0146,1.50635,-0.23101,1.27534,1.00424,1.66793,5.55996e-05
0.0147,1.5062,-0.230857,1.27534,1.00413,1.66785,5.55967e-05
0.0148,1.50605,-0.230701,1.27534,1.00403,1.66776,5.55938e-05
0.0149,1.50589,-0.230543,1.27534,1.00392,1.66767,5.55909e-05
0.015,1.50573,-0.230381,1.27534,1.00382,1.66758,5.55879e-05
0.0151,1.50556,-0.230216,1.27534,1.00371,1.66749,5.55848e-05
0.0152,1.50539,-0.230048,1.27534,1.00359,1.66739,5.55817e-05
0.0153,1.50522,-0.229877,1.27534,1.00348,1.6673,5.55785e-05
0.0154,1.50505,-0.229703,1.27534,1.00336,1.6672,5.55752e-05
0.0155,1.50487,-0.229526,1.27534,1.00325,1.6671,5.55719e-05
0.0156,1.50469,-0.229346,1.27534,1.00313,1.667,5.55686e-05
0.0157,1.50451,-0.229163,1.27534,1.00301,1.6669,5.55652e-05
0.0158,1.50432,-0.228977,1.27534,1.00288,1.6668,5.55617e-05
0.0159,1.50413,-0.228788,1.27534,1.00275,1.66669,5.55582e-05
0.016,1.50394,-0.228596,1.27534,1.00263,1.66658,5.55546e-05
0.0161,1.50375,-0.228401,1.27534,1.0025,1.66647,5.5551e-05
0.0162,1.50355,-0.228202,1.27534,1.00236,1.66636,5.55473e-05
0.0163,1.50335,-0.228001,1.27534,1.00223,1.66625,5.55435e-05
0.0164,1.50314,-0.227796,1.27534,1.00209,1.66614,5.55397e-05
0.0165,1.50293,-0.227589,1.27534,1.00196,1.66602,5.55358e-05
0.0166,1.50272,-0.227378,1.27534,1.00182,1.6659,5.55319e-05
0.0167,1.50251,-0.227165,1.27534,1.00167,1.66578,5.55279e-05
0.0168,1.50229,-0.226948,1.27534,1.00153,1.66566,5.55239e-05
0.0169,1.50207,-0.226728,1.27534,1.00138,1.66554,5.55198e-05
0.017,1.50185,-0.226504,1.27534,1.00123,1.66541,5.55156e-05
0.0171,1.50162,-0.226278,1.27534,1.00108,1.66529,5.55114e-05
0.0172,1.50139,-0.226049,1.27534,1.00093,1.66516,5.55071e-05
0.0173,1.50116,-0.225816,1.27534,1.00077,1.66503,5.55028e-05
0.0174,1.50092,-0.22558,1.27534,1.00062,1.6649,5.54984e-05
0.0175,1.50069,-0.225341,1.27534,1.00046,1.66476,5.54939e-05
0.0176,1.50044,-0.225099,1.27534,1.0003,1.66463,5.54894e-05
0.0177,1.5002,-0.224854,1.27534,1.00013,1.66449,5.54848e-05
0.0178,1.49995,-0.224605,1.27534,0.999966,1.66435,5.54802e-05
0.0179,1.4997,-0.224353,1.27534,0.999799,1.66421,5.54755e-05
0.018,1.49944,-0.224098,1.27534,0.999629,1.66407,5.54708e-05
0.0181,1.49918,-0.22384,1.27534,0.999456,1.66392,5.54659e-05
0.0182,1.49892,-0.223579,1.27534,0.999282,1.66378,5.54611e-05
0.0183,1.49866,-0.223314,1.27534,0.999106,1.66363,5.54561e-05
0.0184,1.49839,-0.223046,1.27534,0.998927,1.66348,5.54511e-05
0.0185,1.49812,-0.222774,1.27534,0.998746,1.66333,5.5446e-05
0.0186,1.49784,-0.2225,1.27534,0.998563,1.66317,5.54409e-05
0.0187,1.49757,-0.222222,1.27534,0.998378,1.66302,5.54357e-05
0.0188,1.49729,-0.221941,1.27534,0.99819,1.66286,5.54305e-05
0.0189,1.497,-0.221656,1.27534,0.998001,1.6627,5.54252e-05
0.019,1.49671,-0.221369,1.27534,0.997809,1.66254,5.54198e-05
0.0191,1.49642,-0.221078,1.27534,0.997615,1.66238,5.54144e-05
0.0192,1.49613,-0.220783,1.27534,0.997418,1.66221,5.54089e-05
0.0193,1.49583,-0.220485,1.27534,0.99722,1.66204,5.54033e-05
0.0194,1.49553,-0.220184,1.27534,0.997019,1.66187,5.53977e-05
0.0195,1.49522,-0.21988,1.27534,0.996816,1.6617,5.5392e-05
0.0196,1.49492,-0.219572,1.27534,0.996611,1.66153,5.53862e-05
0.0197,1.49461,-0.219261,1.27534,0.996403,1.66136,5.53804e-05
0.0198,1.49429,-0.218946,1.27534,0.996194,1.66118,5.53745e-05
0.0199,1.49397,-0.218628,1.27534,0.995982,1.661,5.53686e-05
0.02,1.49365,-0.218307,1.27534,0.995767,1.66082,5.53626e-05
0.0201,1.49333,-0.217982,1.27534,0.995551,1.66064,5.53565e-05
0.0202,1.493,-0.217653,1.27534,0.995332,1.66046,5.53504e-05
0.0203,1.49267,-0.217322,1.27534,0.995111,1.66027,5.53442e-05
0.0204,1.49233,-0.216987,1.27534,0.994887,1.66008,5.53379e-05
0.0205,1.49199,-0.216648,1.27534,0.994662,1.65989,5.53316e-05
0.0206,1.49165,-0.216306,1.27534,0.994434,1.6597,5.53252e-05
0.0207,1.4913,-0.21596,1.27534,0.994203,1.65951,5.53187e-05
0.0208,1.49096,-0.215611,1.27534,0.99397,1.65931,5.53122e-05
0.0209,1.4906,-0.215259,1.27534,0.993735,1.65911,5.53056e-05
0.021,1.49025,-0.214903,1.27534,0.993498,1.65891,5.52989e-05
0.0211,1.48989,-0.214543,1.27534,0.993258,1.65871,5.52922e-05
0.0212,1.48952,-0.21418,1.27534,0.993016,1.65851,5.52854e-05
0.0213,1.48916,-0.213813,1.27534,0.992772,1.6583,5.52785e-05
0.0214,1.48879,-0.213443,1.27534,0.992525,1.65809,5.52715e-05
0.0215,1.48841,-0.213069,1.27534,0.992276,1.65788,5.52645e-05
0.0216,1.48804,-0.212692,1.27534,0.992024,1.65767,5.52575e-05
0.0217,1.48766,-0.212311,1.27534,0.99177,1.65745,5.52503e-05
0.0218,1.48727,-0.211927,1.27534,0.991514,1.65724,5.52431e-05
0.0219,1.48688,-0.211539,1.27534,0.991255,1.65702,5.52359e-05
0.022,1.48649,-0.211147,1.27534,0.990994,1.6568,5.52285e-05
0.0221,1.4861,-0.210752,1.27534,0.990731,1.65658,5.52211e-05
0.0222,1.4857,-0.210353,1.27534,0.990465,1.65635,5.52136e-05
0.0223,1.48529,-0.20995,1.27534,0.990197,1.65613,5.52061e-05
0.0224,1.48489,-0.209544,1.27534,0.989926,1.6559,5.51984e-05
0.0225,1.48448,-0.209134,1.27534,0.989653,1.65567,5.51907e-05
0.0226,1.48407,-0.208721,1.27534,0.989377,1.65543,5.5183e-05
0.0227,1.48365,-0.208304,1.27534,0.989099,1.6552,5.51751e-05
0.0228,1.48323,-0.207883,1.27534,0.988818,1.65496,5.51672e-05
0.0229,1.4828,-0.207458,1.27534,0.988535,1.65472,5.51593e-05
0.023,1.48237,-0.20703,1.27534,0.98825,1.65448,5.51512e-05
0.0231,1.48194,-0.206598,1.27534,0.987962,1.65424,5.51431e-05
0.0232,1.48151,-0.206162,1.27534,0.987671,1.65399,5.51349e-05
0.0233,1.48107,-0.205723,1.27534,0.987378,1.65374,5.51267e-05
0.0234,1.48062,-0.205279,1.27534,0.987083,1.65349,5.51183e-05
0.0235,1.48018,-0.204832,1.27534,0.986785,1.65324,5.51099e-05
0.0236,1.47973,-0.204382,1.27534,0.986484,1.65299,5.51014e-05
0.0237,1.47927,-0.203927,1.27534,0.986181,1.65273,5.50929e-05
0.0238,1.47881,-0.203469,1.27534,0.985876,1.65247,5.50843e-05
0.0239,1.47835,-0.203007,1.27534,0.985567,1.65221,5.50756e-05
0.024,1.47789,-0.202541,1.27534,0.985257,1.65195,5.50668e-05
0.0241,1.47742,-0.202071,1.27534,0.984944,1.65168,5.50579e-05
0.0242,1.47694,-0.201597,1.27534,0.984628,1.65142,5.5049e-05
0.0243,1.47646,-0.20112,1.27534,0.98431,1.65115,5.504e-05
0.0244,1.47598,-0.200639,1.27534,0.983989,1.65087,5.5031e-05
0.0245,1.4755,-0.200153,1.27534,0.983665,1.6506,5.50218e-05
0.0246,1.47501,-0.199664,1.27534,0.983339,1.65032,5.50126e-05
0.0247,1.47452,-0.199171,1.27534,0.983011,1.65004,5.50033e-05
0.0248,1.47402,-0.198675,1.27534,0.982679,1.64976,5.49939e-05
0.0249,1.47352,-0.198174,1.27534,0.982345,1.64948,5.49845e-05
0.025,1.47301,-0.197669,1.27534,0.982009,1.64919,5.4975e-05
0.0251,1.4725,-0.197161,1.27534,0.98167,1.64891,5.49654e-05
0.0252,1.47199,-0.196648,1.27534,0.981328,1.64862,5.49557e-05
0.0253,1.47148,-0.196131,1.27534,0.980984,1.64832,5.4946e-05
0.0254,1.47096,-0.195611,1.27534,0.980637,1.64803,5.49361e-05
0.0255,1.47043,-0.195087,1.27534,0.980287,1.64773,5.49262e-05
0.0256,1.4699,-0.194558,1.27534,0.979935,1.64743,5.49162e-05
0.0257,1.46937,-0.194026,1.27534,0.97958,1.64713,5.49062e-05
0.0258,1.46883,-0.193489,1.27534,0.979222,1.64683,5.4896e-05
0.0259,1.46829,-0.192949,1.27534,0.978862,1.64652,5.48858e-05
0.026,1.46775,-0.192404,1.27534,0.978499,1.64621,5.48755e-05
0.0261,1.4672,-0.191856,1.27534,0.978133,1.6459,5.48651e-05
0.0262,1.46665,-0.191303,1.27534,0.977765,1.64559,5.48547e-05
0.0263,1.46609,-0.190746,1.27534,0.977394,1.64527,5.48441e-05
0.0264,1.46553,-0.190186,1.27534,0.97702,1.64495,5.48335e-05
0.0265,1.46497,-0.189621,1.27534,0.976643,1.64463,5.48228e-05
0.0266,1.4644,-0.189052,1.27534,0.976264,1.64431,5.48121e-05
0.0267,1.46382,-0.188479,1.27534,0.975882,1.64398,5.48012e-05
0.0268,1.46325,-0.187902,1.27534,0.975497,1.64365,5.47903e-05
0.0269,1.46266,-0.18732,1.27534,0.97511,1.64332,5.47792e-05
0.027,1.46208,-0.186735,1.27534,0.97472,1.64299,5.47681e-05
0.0271,1.46149,-0.186145,1.27534,0.974327,1.64265,5.4757e-05
0.0272,1.4609,-0.185552,1.27534,0.973931,1.64232,5.47457e-05
0.0273,1.4603,-0.184954,1.27534,0.973532,1.64198,5.47343e-05
0.0274,1.4597,-0.184352,1.27534,0.973131,1.64163,5.47229e-05
0.0275,1.45909,-0.183745,1.27534,0.972726,1.64129,5.47114e-05
0.0276,1.45848,-0.183135,1.27534,0.972319,1.64094,5.46998e-05
0.0277,1.45786,-0.18252,1.27534,0.97191,1.64059,5.46881e-05
0.0278,1.45725,-0.181901,1.27534,0.971497,1.64024,5.46764e-05
0.0279,1.45662,-0.181278,1.27534,0.971082,1.63988,5.46645e-05
0.028,1.45599,-0.18065,1.27534,0.970663,1.63952,5.46526e-05
0.0281,1.45536,-0.180019,1.27534,0.970242,1.63916,5.46406e-05
0.0282,1.45473,-0.179383,1.27534,0.969818,1.6388,5.46284e-05
0.0283,1.45409,-0.178742,1.27534,0.969391,1.63843,5.46163e-05
0.0284,1.45344,-0.178098,1.27534,0.968961,1.63806,5.4604e-05
0.0285,1.45279,-0.177449,1.27534,0.968529,1.63769,5.45916e-05
0.0286,1.45214,-0.176796,1.27534,0.968093,1.63732,5.45792e-05
