InitTemp,CoolingRate,MarkovLength,Steps,CostFunction
1,0.25,10,5380,2
1,0.25,25,9148,0
1,0.25,50,26900,2
1,0.25,100,7437,0
1,0.5,10,2282,0
1,0.5,25,13710,0
1,0.5,50,4855,0
1,0.5,100,13290,0
1,0.75,10,21954,0
1,0.75,25,4834,0
1,0.75,50,26050,0
1,0.75,100,100000,2
1,0.9,10,6220,0
1,0.9,25,2496,0
1,0.9,50,21003,0
1,0.9,100,29402,0
1,0.99,10,100000,2
1,0.99,25,25148,0
1,0.99,50,100000,2
1,0.99,100,12689,0
2.5,0.25,10,5380,2
2.5,0.25,25,7363,0
2.5,0.25,50,26900,3
2.5,0.25,100,5630,0
2.5,0.5,10,7039,0
2.5,0.5,25,26900,2
2.5,0.5,50,1282,0
2.5,0.5,100,20476,0
2.5,0.75,10,100000,2
2.5,0.75,25,8726,0
2.5,0.75,50,6097,0
2.5,0.75,100,3615,0
2.5,0.9,10,100000,3
2.5,0.9,25,8851,0
2.5,0.9,50,20965,0
2.5,0.9,100,5075,0
2.5,0.99,10,100000,2
2.5,0.99,25,6528,0
2.5,0.99,50,100000,3
2.5,0.99,100,24572,0
5,0.25,10,3344,0
5,0.25,25,13475,2
5,0.25,50,4740,0
5,0.25,100,53900,2
5,0.5,10,10770,2
5,0.5,25,2311,0
5,0.5,50,53850,2
5,0.5,100,14477,0
5,0.75,10,8946,0
5,0.75,25,2561,0
5,0.75,50,3434,0
5,0.75,100,7345,0
5,0.9,10,8560,0
5,0.9,25,5191,0
5,0.9,50,100000,3
5,0.9,100,17712,0
5,0.99,10,10274,0
5,0.99,25,12895,0
5,0.99,50,17907,0
5,0.99,100,26852,0
10,0.25,10,5390,2
10,0.25,25,13475,2
10,0.25,50,2645,0
10,0.25,100,53900,3
10,0.5,10,10665,0
10,0.5,25,8861,0
10,0.5,50,2042,0
10,0.5,100,26912,0
10,0.75,10,26667,0
10,0.75,25,100000,3
10,0.75,50,9474,0
10,0.75,100,100000,2
10,0.9,10,100000,2
10,0.9,25,100000,2
10,0.9,50,7766,0
10,0.9,100,7102,0
10,0.99,10,8755,0
10,0.99,25,10490,0
10,0.99,50,26995,0
10,0.99,100,34826,0
25,0.25,10,3552,0
25,0.25,25,13500,2
25,0.25,50,27000,2
25,0.25,100,8666,0
25,0.5,10,10800,2
25,0.5,25,27000,3
25,0.5,50,2932,0
25,0.5,100,2390,0
25,0.75,10,4934,0
25,0.75,25,4787,0
25,0.75,50,2538,0
25,0.75,100,4490,0
25,0.9,10,32472,0
25,0.9,25,21627,0
25,0.9,50,100000,2
25,0.9,100,72864,0
25,0.99,10,6769,0
25,0.99,25,31359,0
25,0.99,50,22493,0
25,0.99,100,56125,0
